dolor opresivo en el pecho que se irradia al brazo izquierdo sudoracion,Cardiología,ALTO (Rojo)
dificultad severa para respirar taquicardia y desmayo,Cardiología,ALTO (Rojo)
palpitaciones rapidas dolor punzante torax,Cardiología,ALTO (Rojo)
presion arterial por las nubes mareo zumbido en los oidos,Cardiología,MEDIO (Amarillo)
dolor en el pecho al respirar profundo sin sudoracion,Cardiología,MEDIO (Amarillo)
fractura expuesta en la pierna con sangrado abundante,Traumatología,ALTO (Rojo)
caida de altura dolor insoportable en la columna no puedo mover las piernas,Traumatología,ALTO (Rojo)
amputacion de dedo por accidente de trabajo,Traumatología,ALTO (Rojo)
torcedura de tobillo muy inflamado no puedo apoyar el pie,Traumatología,MEDIO (Amarillo)
dolor de rodilla despues de correr inflamacion leve,Traumatología,BAJO (Verde)
golpe en el brazo sin deformidad solo moreton,Traumatología,BAJO (Verde)
fiebre de 40 grados dificultad para jalar aire labios morados,Neumología,ALTO (Rojo)
ataque de asma silbido en el pecho me ahogo,Neumología,ALTO (Rojo)
tos con sangre dolor al respirar fatiga extrema,Neumología,ALTO (Rojo)
tos seca persistente perdida de olfato fatiga extrema,Neumología,MEDIO (Amarillo)
gripe fuerte escurrimiento nasal y dolor de garganta,Medicina General,BAJO (Verde)
dolor de cabeza leve malestar general cuerpo cortado,Medicina General,BAJO (Verde)
vomito con sangre dolor abdominal agudo como cuchillada,Gastroenterología,ALTO (Rojo)
diarrea liquida mas de 10 veces al dia deshidratacion severa,Gastroenterología,MEDIO (Amarillo)
dolor en la boca del estomago agruras nauseas despues de comer,Gastroenterología,BAJO (Verde)
